UNIT_CODE,UNIT_NAME,STATE,REGION,Lat,Long
APIS,Apostle Islands National Lakeshore,WI,MW,46.93671618380,-90.57955662030
ARCH,Arches National Park,UT,IM,38.72253864710,-109.58634977900
ARPO,Arkansas Post National Memorial,AR,MW,34.02072545510,-91.34732760200
BAND,Bandelier National Monument,NM,IM,35.75757660580,-106.30550988600
BELA,Bering Land Bridge National Preserve,AK,AK,65.75704847840,-163.92080607500
CABR,Cabrillo National Monument,CA,PW,32.67225021380,-117.24159855200
CANA,Canaveral National Seashore,FL,SE,28.78624731990,-80.75412332390
CATO,Catoctin Mountain Park,MD,NC,39.64821118580,-77.46122132800
CHIS,Channel Islands National Park,CA,PW,34.01655126960,-119.73965083700
CHOH,Chesapeake and Ohio Canal National Historical Park,DC,NC,39.59965160180,-77.94484191050
CHIC,Chickasaw National Recreation Area,OK,IM,34.46049373640,-97.00715805910
CRLA,Crater Lake National Park,OR,PW,42.94108619940,-122.13281644800
CRMO,Craters of the Moon National Monument,ID,PW,43.28286894490,-113.44162005100
DEVA,Death Valley National Park,CA,PW,36.48393063420,-117.13262780400
DENA,Denali National Park,AK,AK,63.34110761810,-150.73414226300
DRTO,Dry Tortugas National Park,FL,SE,24.64883027030,-82.87179065450
EISE,Eisenhower National Historic Site,PA,NE,39.79577487330,-77.26508102370
EVER,Everglades National Park,FL,SE,25.37216762310,-80.88182401360
FLFO,Florissant Fossil Beds National Monument,CO,IM,38.91260206430,-105.28033940400
FOVA,Fort Vancouver National Historic Site,WA,PW,45.62356027130,-122.66163759700
FOBU,Fossil Butte National Monument,WY,IM,41.85634277040,-110.76247138200
GRCA,Grand Canyon National Park,AZ,IM,36.18654514670,-112.18525404300
GRPO,Grand Portage National Monument,MI,MW,47.99968200030,-89.76068849930
HAFO,Hagerman Fossil Beds National Monument,ID,PW,42.77557327130,-114.95399890500
HAFE,Harpers Ferry National Historical Park,WV,NC,39.31286155440,-77.74195535970
HAVO,Hawai'i Volcanoes National Park,HI,PW,19.37757747900,-155.60285510100
HOBE,Horseshoe Bend National Military Park,AL,SE,32.97668768710,-85.73413618030
JELA,Jean Lafitte National Historical Park and Preserve,LA,SE,29.81916125000,-90.14721028220
JODA,John Day Fossil Beds National Monument,OR,PW,44.54313599810,-119.63431849300
JOTR,Joshua Tree National Park,CA,PW,33.82705236690,-115.86011076600
KALA,Kalaupapa National Historical Park,HI,PW,21.15464088640,-156.92464982700
KAHO,Kaloko-Honokohau National Historical Park,HI,PW,19.68082506330,-156.03071959600
KEFJ,Kenai Fjords National Park,AK,AK,59.95320812380,-149.88152448900
KICA,Kings Canyon National Park,CA,PW,36.89861451250,-118.58724470400
LAKE,Lake Mead National Recreation Area,NV,PW,35.71471937050,-114.65190290700
LAVO,Lassen Volcanic National Park,CA,PW,40.49378739270,-121.40720482300
LABE,Lava Beds National Monument,CA,PW,41.75872643240,-121.51780323300
LEWI,Lewis and Clark National Historical Park,WA,PW,46.28618253610,-124.06763244500
MACA,Mammoth Cave National Park,KY,SE,37.19758046710,-86.13089476230
MEVE,Mesa Verde National Park,CO,IM,37.22348339230,-108.50092888600
MORU,Mount Rushmore National Memorial,SD,MW,43.88036924150,-103.45251880600
JAZZ,New Orleans Jazz National Historical Park,LA,SE,29.95849100000,-90.06074900000
NERI,New River Gorge National River,VA,NE,37.84026469350,-80.98970436400
PAIS,Padre Island National Seashore,TX,IM,26.70366538030,-97.34068067530
PEFO,Petrified Forest National Park,AZ,IM,34.98864305450,-109.67471774600
PETR,Petroglyph National Monument,NM,IM,35.13426644260,-106.75224307500
PINN,Pinnacles National Park,CA,PW,36.49021461890,-121.18099236800
PUHE,Pu'ukohola Heiau National Historic Site,HI,PW,20.02772182830,-155.82116293200
REDW,Redwood National Park,CA,PW,41.37133097010,-124.03165508400
ROCR,Rock Creek Park,DC,NC,38.96274063630,-77.04605847470
SEQU,Sequoia National Park,CA,PW,36.50768379490,-118.57520330400
TUSK,Tule Springs Fossil Beds National Monument,NV,PW,36.40602431460,-115.35231390100
WABA,Washita Battlefield National Historic Site,OK,IM,35.62083955120,-99.70445142390
WHIS,Whiskeytown-Shasta-Trinity National Recreation Area,CA,PW,40.61358019820,-122.60226027900
YOSE,Yosemite National Park,CA,PW,37.84832508820,-119.55697742200
